"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 07:45:07 IST 2022","Fri Dec 30 07:45:09 IST 2022","2683","Suite","GET","com.ELI_Assesments.Config_Assesments","com.ELI_Assesments.Config_Assesments","testForGETandPUT","testForGETandPUT",""
"passed","Fri Dec 30 07:45:10 IST 2022","Fri Dec 30 07:45:12 IST 2022","2158","Suite","GET","com.ELI_Assesments.Config_Assesments","com.ELI_Assesments.Config_Assesments","testForGETandPUT","testForGETandPUT",""
"passed","Fri Dec 30 07:44:56 IST 2022","Fri Dec 30 07:45:06 IST 2022","9981","Suite","GET","com.ELI_Assesments.Config_Assesments","com.ELI_Assesments.Config_Assesments","testForGETandPUT","testForGETandPUT",""
"passed","Fri Dec 30 07:40:21 IST 2022","Fri Dec 30 07:40:29 IST 2022","7983","Suite","GET","com.ELI_Assesments.Config_Assesments","com.ELI_Assesments.Config_Assesments","testForGET","testForGET",""
